group,sp,word,wpos,v1,v2,v1F0on,v2F0off,duration,v1F0m,v2F0m,stop,VOT
I,M,geonning,iso,eo,i,111,87.4,NA,107.5,92.21,g,0.046
I,M,georae,car,eo,ae,107.1,111.7,NA,106,111.6,g,0.061
I,M,georae,iso,eo,ae,112.3,84.97,NA,107.4,93.25,g,0.049
I,M,keonning,car,eo,i,150.2,142.6,NA,148.9,145.3,k,0.073
I,M,keonning,iso,eo,i,147.8,95.2,NA,144.9,102.4,k,0.082
I,M,keorae,car,eo,ae,151.7,143,NA,150.4,145.7,k,0.092
I,M,keorae,iso,eo,ae,138.2,88.84,NA,134.5,97.07,k,0.103
X,F,bama,iso,a,a,225,202,203,183,0.439,b,0.069
X,F,bama,car,a,a,220,223,214,224,0.325,b,0.046
X,M,bama,iso,a,a,99,89,92,76,0.473,b,0.076
X,M,bama,car,a,a,88,99,91,101,0.318,b,0.107
X,F,baneul,iso,a,eu,197,184,200,189,0.242,b,0.064
X,F,baneul,car,a,eu,219,234,217,232,0.185,b,0.063
X,M,baneul,iso,a,eu,94,82,97,88,0.248,b,0.097
X,M,baneul,car,a,eu,96,101,94,105,0.147,b,0.096
X,F,pama,iso,a,a,261,176,255,180,0.414,p,0.069
X,F,pama,car,a,a,268,265,270,267,0.214,p,0.018
X,M,pama,iso,a,a,120,76,113,77,0.451,p,0.118
X,M,pama,car,a,a,129,120,127,121,0.263,p,0.096
X,F,paneul,iso,a,eu,257,199,249.1,210.3,0.374,p,0.071
X,F,paneul,car,a,eu,285,290,290.7,293.6,0.155,p,0.073
X,M,paneul,iso,a,eu,130,85,121.5,89.1,0.369,p,0.021
X,M,paneul,car,a,eu,118,125,118.6,125.5,0.13,p,0.025
